id,Target,Content
P01,An,(哇嗚……痛、痛死我了，好端端地走在路上怎麼會有坑啊！？)
P02,An,(還好這裡有上面牧場掉落的稻草，不然就大事不妙了……)
P03,諾姆,喂～安，聽的到我的聲音嗎？你還好嗎？
P04,安,嗯，我沒事。
P05,諾姆,呼～你沒事真是太好了，對不起喔，都怪我忘了提醒你這裡要小心……
P06,諾姆,對了！你有看到附近有個洞穴嗎？
P07,諾姆,這個坑實際上是很久以前，村里的水井乾竭而成的
P08,諾姆,後來村里的人，從這座水井的底部，往其他方向挖掘尋找其他的水源
P09,諾姆,你順著前面的洞穴往前走，最終應該可以看到村里現在還在使用的水井
P10,諾姆,那我去那邊等你，等你到了之後，我在跟村裡的人用繩索把你拉上來喔！
P11,安,……
P12,An,總而言之，先把找東西把前面的火把點燃吧……
P13,An,我記得背包裡還有打火石，或許可以用後面的稻草，做成一個火把
P14,,
P15,An,……
P16,An,這座橋…
P17,An,到 底 是 誰 設 計 的 啊？？
P18,An,把開關設計在懸崖的另一邊，肯定是傻了吧！
P19,An,……
P20,An,…
P21,An,唉，讓我試著用彈弓射擊，看能不能觸發開關好了……
P22,,
P23,An,唔，洞穴的盡頭居然是死路嗎……
P24,An,不、不對，光線隱隱約約能從牆壁的縫隙透過來
P25,An,代表這座牆壁結構已經十分的脆弱，或許能用什麼東西把它撞開來？
